city,street,house_number,neighbourhood,lat,lng
באר שבע,אביגד,8,שכונת רמות,31.274931,34.801097
באר שבע,אביגד,6,שכונת רמות,31.274837,34.801074
באר שבע,אביגד,2,שכונת רמות,31.274682,34.800952
באר שבע,אביגד,30,שכונת רמות,31.275783,34.801846
באר שבע,אביגד,13,שכונת רמות,31.276008,34.801519
באר שבע,אביגד,32,שכונת רמות,31.275848,34.801878
באר שבע,אביגד,15,שכונת רמות,31.276204,34.801598
באר שבע,אביגד,7,שכונת רמות,31.275464,34.801056
באר שבע,אביגד,34,שכונת רמות,31.275917,34.801970
באר שבע,אביגד,11,שכונת רמות,31.275796,34.801390
באר שבע,אביגד,17,שכונת רמות,31.276363,34.801841
באר שבע,אביגד,14,שכונת רמות,31.275254,34.801386
באר שבע,אביגד,9,שכונת רמות,31.275712,34.801117
באר שבע,אביגדור המאירי,26,שכונת נווה זאב,31.239535,34.774626
באר שבע,אביגדור המאירי,12,שכונת נווה זאב,31.239528,34.775743
באר שבע,אביגדור המאירי,16,שכונת נווה זאב,31.240225,34.774864
באר שבע,אביגדור המאירי,7,שכונת נווה זאב,31.238513,34.776834
באר שבע,אביגדור המאירי,4,שכונת נווה זאב,31.238698,34.777375
באר שבע,אביגדור המאירי,2,שכונת נווה זאב,31.238558,34.777781
באר שבע,אביגדור המאירי,5,שכונת נווה זאב,31.238460,34.776998
באר שבע,אביגדור המאירי,6,שכונת נווה זאב,31.238855,34.776884
באר שבע,אביגדור המאירי,8,שכונת נווה זאב,31.239102,34.776391
באר שבע,אביגיל,35,שכונת נווה מנחם,31.269322,34.760380
באר שבע,אביגיל,1,שכונת נווה מנחם,31.268235,34.762153
באר שבע,אביגיל,14,שכונת נווה מנחם,31.269048,34.761287
באר שבע,אביגיל,18,שכונת נווה מנחם,31.269199,34.760993
באר שבע,אביגיל,37,שכונת נווה מנחם,31.269414,34.760312
באר שבע,אביגיל,6,שכונת נווה מנחם,31.268808,34.761658
באר שבע,אביגיל,4,שכונת נווה מנחם,31.268726,34.761829
באר שבע,צבי אבידוב,5,שכונת נווה מנחם,31.270082,34.771402
באר שבע,צבי אבידוב,3,שכונת נווה מנחם,31.270157,34.771477
באר שבע,צבי אבידוב,18,שכונת נווה מנחם,31.270091,34.770848
באר שבע,צבי אבידוב,22,שכונת נווה מנחם,31.270023,34.770646
באר שבע,מנחם אבידום,34,שכונת נחל בקע,31.221786,34.773632
באר שבע,מנחם אבידום,10,שכונת נחל בקע,31.220716,34.775022
באר שבע,מנחם אבידום,12,שכונת נחל בקע,31.220774,34.774988
באר שבע,מנחם אבידום,19,שכונת נחל בקע,31.221086,34.774166
באר שבע,מנחם אבידום,16,שכונת נחל בקע,31.221103,34.774510
באר שבע,מנחם אבידום,47,שכונת נחל בקע,31.222252,34.772641
באר שבע,מנחם אבידום,20,שכונת נחל בקע,31.221285,34.774326
באר שבע,מנחם אבידום,51,שכונת נחל בקע,31.222385,34.772464
באר שבע,מנחם אבידום,48,שכונת נחל בקע,31.222476,34.772808
באר שבע,מנחם אבידום,4,שכונת נחל בקע,31.220537,34.775312
באר שבע,מנחם אבידום,9,שכונת נחל בקע,31.220546,34.774891
באר שבע,אביה השופט,6,שכונת ד,31.268518,34.795797
באר שבע,אביה השופט,11,שכונת ד,31.269061,34.795732
באר שבע,אביה השופט,1,שכונת ד,31.267793,34.795060
באר שבע,אביה השופט,15,שכונת ד,31.269518,34.795937
באר שבע,אביה השופט,14,שכונת ד,31.269526,34.796322
באר שבע,אביה השופט,13,שכונת ד,31.269328,34.795882
באר שבע,אביה השופט,9,שכונת ד,31.268709,34.795546
באר שבע,אביה השופט,4,שכונת ד,31.268152,34.795618
באר שבע,אביה השופט,10,שכונת ד,31.268956,34.796005
באר שבע,אביה השופט,3,שכונת ד,31.268084,34.795187
באר שבע,אביה השופט,8,שכונת ד,31.268758,34.795921
באר שבע,אביה השופט,2,שכונת ד,31.267959,34.795502
באר שבע,אביה השופט,5,שכונת ד,31.268274,34.795308
באר שבע,אביטל,10,שכונת נווה מנחם,31.266954,34.765803
באר שבע,אביטל,24,שכונת נווה מנחם,31.266451,34.765192
באר שבע,אביטל,16,שכונת נווה מנחם,31.266726,34.765482
באר שבע,אבישג,2,שכונת נווה מנחם,31.269692,34.761327
באר שבע,אבישג,1,שכונת נווה מנחם,31.269574,34.761527
באר שבע,אבישג,12,שכונת נווה מנחם,31.269386,34.760826
באר שבע,אבישג,17,שכונת נווה מנחם,31.269019,34.760734
באר שבע,אבישג,21,שכונת נווה מנחם,31.268885,34.760621
באר שבע,אבישי,36,שכונת ו,31.260679,34.779012
באר שבע,אבישי,43,שכונת ו,31.260363,34.779136
באר שבע,אבישי,12,שכונת ו,31.261467,34.778122
באר שבע,אבישי,39,שכונת ו,31.260386,34.779504
באר שבע,אבישי,32,שכונת ו,31.260874,34.779154
באר שבע,אבישי,10,שכונת ו,31.261429,34.777930
באר שבע,אבישי,25,שכונת ו,31.261665,34.779249
באר שבע,אבישי,4,שכונת ו,31.261383,34.777401
באר שבע,אבישי,20,שכונת ו,31.261504,34.778921
באר שבע,אבישי,30,שכונת ו,31.260852,34.778926
באר שבע,אבישי,38,שכונת ו,31.260647,34.778794
באר שבע,אבישי,13,שכונת ו,31.261727,34.778219
באר שבע,אבישי,28,שכונת ו,31.260907,34.778720
באר שבע,אביתר הכהן,23,שכונת נווה מנחם,31.266825,34.765134
באר שבע,אביתר הכהן,26,שכונת נווה מנחם,31.267040,34.764916
באר שבע,אביתר הכהן,16,שכונת נווה מנחם,31.268002,34.766324
באר שבע,אביתר הכהן,18,שכונת נווה מנחם,31.267809,34.766044
באר שבע,אביתר הכהן,28,שכונת נווה מנחם,31.266829,34.764665
באר שבע,אביתר הכהן,24,שכונת נווה מנחם,31.267264,34.765186
באר שבע,אביתר הכהן,20,שכונת נווה מנחם,31.267629,34.765762
באר שבע,אביתר הכהן,22,שכונת נווה מנחם,31.267454,34.765472
באר שבע,אביתר הכהן,19,שכונת נווה מנחם,31.266910,34.765323
באר שבע,מיכאל אבן ארי,24,שכונת רמות,31.275405,34.806676
באר שבע,מיכאל אבן ארי,13,שכונת רמות,31.274554,34.807066
באר שבע,מיכאל אבן ארי,10,שכונת רמות,31.274909,34.807217
באר שבע,מיכאל אבן ארי,41,שכונת רמות,31.275504,34.806000
באר שבע,מיכאל אבן ארי,35,שכונת רמות,31.275319,34.806232
באר שבע,מיכאל אבן ארי,45,שכונת רמות,31.275582,34.805835
באר שבע,מיכאל אבן ארי,34,שכונת רמות,31.275979,34.805850
באר שבע,מיכאל אבן ארי,4,שכונת רמות,31.274433,34.807595
באר שבע,מיכאל אבן ארי,37,שכונת רמות,31.275386,34.806135
באר שבע,מיכאל אבן ארי,3,שכונת רמות,31.274206,34.807319
באר שבע,מיכאל אבן ארי,47,שכונת רמות,31.275605,34.805760
באר שבע,מיכאל אבן ארי,7,שכונת רמות,31.274335,34.807211
באר שבע,אבן גבירול,7,שכונת ד,31.256828,34.795973
באר שבע,אבן גבירול,5,שכונת ב,31.256429,34.795990
באר שבע,אבן גבירול,6,שכונת ב,31.256225,34.796172
באר שבע,אבן גבירול,8,שכונת ב,31.256461,34.796164
באר שבע,אבן גבירול,11,שכונת ד,31.257474,34.795966
באר שבע,אבן גבירול,3,שכונת ב,31.256174,34.795994
באר שבע,אבן גבירול,4,שכונת ב,31.255990,34.796182
באר שבע,אבן גבירול,2,שכונת ב,31.255701,34.796235
