city,street,house_number,neighbourhood,lat,lng
מודיעין-מכבים-רעות,"רא""ל חיים ברלב",40,שכונת המגינים,31.908895,34.999866
מודיעין-מכבים-רעות,הר יודפת מכבים רעות,564,שכונת מכבים,31.884423,35.038311
מודיעין-מכבים-רעות,מעלה גדעון,4,,31.895804,35.010939
מודיעין-מכבים-רעות,מרום מכבים רעות,20,,31.884192,35.013060
מודיעין-מכבים-רעות,הלוח העברי,10,,31.916533,35.005491
מודיעין-מכבים-רעות,הדודאים,2,שכונת הפרחים,31.908404,35.015247
מודיעין-מכבים-רעות,כרמל מכבים רעות,12,,31.891806,35.018166
מודיעין-מכבים-רעות,?,77,שכונת הנביאים,31.915606,35.003813
מודיעין-מכבים-רעות,הר שחר מכבים רעות,608,,31.887701,35.033956
מודיעין-מכבים-רעות,נחל ברק מכבים רעות,849,,31.887897,35.029887
מודיעין-מכבים-רעות,שבט,36,שכונת הכרמים,31.914103,35.011868
מודיעין-מכבים-רעות,שבט,1,שכונת הכרמים,31.911325,35.013770
מודיעין-מכבים-רעות,עמק האלה,4,שכונת הכרמים,31.911648,35.012849
מודיעין-מכבים-רעות,לילך מכבים רעות,29,שכונת רעות,31.884326,35.023143
מודיעין-מכבים-רעות,מרום מכבים רעות,9,שכונת רעות,31.884516,35.012318
מודיעין-מכבים-רעות,עמק יזרעאל,7,שכונת הנחלים,31.898121,35.017240
מודיעין-מכבים-רעות,שמעון,150,שכונת השבטים,31.890164,35.003886
מודיעין-מכבים-רעות,תרשיש,17,,31.906509,34.995633
מודיעין-מכבים-רעות,רותם מכבים רעות,22,שכונת רעות,31.891923,35.014685
מודיעין-מכבים-רעות,פטדה,9,,31.903204,34.997624
מודיעין-מכבים-רעות,דן,13,,31.887889,35.002895
מודיעין-מכבים-רעות,שבט,26,שכונת הכרמים,31.913405,35.011644
מודיעין-מכבים-רעות,שמעון,9,שכונת השבטים,31.886955,35.008910
מודיעין-מכבים-רעות,שיזף מכבים רעות,14,שכונת רעות,31.890989,35.013009
מודיעין-מכבים-רעות,יששכר,11,שכונת השבטים,31.885117,35.002800
מודיעין-מכבים-רעות,תרשיש,40,שכונת אבני חן,31.904172,34.993200
מודיעין-מכבים-רעות,לילך מכבים רעות,65,,31.881957,35.023293
מודיעין-מכבים-רעות,מירון מכבים רעות,6,,31.891151,35.017899
מודיעין-מכבים-רעות,נחל עמוד,37,שכונת משואה,31.891283,35.008469
מודיעין-מכבים-רעות,בוסתן מכבים רעות,24,,31.894682,35.032685
